"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.086142623E1,1.936356088E1,-9.915570553E1,2.249665139E3,2.241947400E3,5.337255478E0,2.797475110E2,1.438953998E-1,1.424595459E1,1.263078474E1,-1.000000000E0
3.186140501E1,1.936356946E1,-9.915575251E1,2.249826441E3,2.242108628E3,5.135491371E0,2.801849169E2,1.487970370E-1,1.424595459E1,1.261960679E1,-1.000000000E0
3.286138391E1,1.936357408E1,-9.915579897E1,2.249935625E3,2.242217732E3,5.101044178E0,2.787060717E2,1.544176377E-1,1.424595459E1,1.338320485E1,-1.000000000E0
3.386136317E1,1.936358157E1,-9.915585196E1,2.249725040E3,2.242007059E3,5.189971447E0,2.785274757E2,1.602759460E-1,1.424595459E1,1.299278874E1,-1.000000000E0
3.486134183E1,1.936358992E1,-9.915590710E1,2.249355632E3,2.241637561E3,5.189971447E0,2.778849188E2,1.638362730E-1,1.424595459E1,1.581582404E1,-1.000000000E0
3.586132061E1,1.936359497E1,-9.915594061E1,2.251074441E3,2.243356316E3,5.391695574E0,2.802125521E2,1.691004088E-1,8.000000063E0,4.472671856E0,-1.000000000E0
3.686129951E1,1.936360454E1,-9.915598975E1,2.251154235E3,2.243436034E3,5.251794076E0,2.804692055E2,1.742356973E-1,8.000000029E0,4.198684544E0,-1.000000000E0
3.786127853E1,1.936361511E1,-9.915603741E1,2.251017109E3,2.243298838E3,5.187520014E0,2.808788760E2,1.798782322E-1,8.000000018E0,4.148988471E0,-1.000000000E0
3.886125755E1,1.936362034E1,-9.915609091E1,2.251243037E3,2.243524673E3,5.430322409E0,2.789026710E2,1.842231800E-1,8.000000038E0,4.031747150E0,-1.000000000E0
3.986123657E1,1.936362167E1,-9.915613230E1,2.251442076E3,2.243723633E3,5.073884892E0,2.781145533E2,1.894080665E-1,8.000000071E0,6.156519297E0,-1.000000000E0
4.086121607E1,1.936363315E1,-9.915618021E1,2.250947588E3,2.243229077E3,4.997176564E0,2.813384641E2,1.951351572E-1,8.000000101E0,6.092844146E0,-1.000000000E0
4.186119485E1,1.936363417E1,-9.915623479E1,2.251285802E3,2.243567185E3,5.246970020E0,2.765975334E2,1.999025014E-1,8.000000151E0,6.160923455E0,-1.000000000E0
4.286117387E1,1.936363247E1,-9.915628020E1,2.251116787E3,2.243398076E3,4.961601259E0,2.724245716E2,2.049583068E-1,8.000000045E0,6.235316960E0,-1.000000000E0
4.386115241E1,1.936364181E1,-9.915632736E1,2.251327436E3,2.243608654E3,5.038799639E0,2.773017785E2,2.097703096E-1,8.000000096E0,6.514723490E0,-1.000000000E0
4.486113167E1,1.936365668E1,-9.915637044E1,2.251047401E3,2.243328567E3,4.946547399E0,2.827812124E2,2.153223459E-1,8.000000216E0,6.628662036E0,-1.000000000E0
4.586111033E1,1.936366516E1,-9.915642260E1,2.250772716E3,2.243053799E3,5.241416083E0,2.814327324E2,2.204368955E-1,8.000000219E0,6.668666132E0,-1.000000000E0
4.686108971E1,1.936366973E1,-9.915647111E1,2.250543222E3,2.242824219E3,5.166825001E0,2.780973076E2,2.265387307E-1,8.000000171E0,6.749122923E0,-1.000000000E0
4.786106801E1,1.936366635E1,-9.915652916E1,2.250783257E3,2.243064132E3,5.498598744E0,2.696873866E2,2.323761777E-1,8.000000079E0,6.784276791E0,-1.000000000E0
4.886104715E1,1.936365205E1,-9.915658271E1,2.250376224E3,2.242656961E3,5.581637322E0,2.600747844E2,2.381047580E-1,7.999999923E0,6.760063388E0,-1.000000000E0
4.986102605E1,1.936363371E1,-9.915663373E1,2.249872567E3,2.242153162E3,5.556526622E0,2.532488988E2,2.442726578E-1,7.999999960E0,6.544265257E0,-1.000000000E0
5.086100543E1,1.936361119E1,-9.915668747E1,2.249993119E3,2.242273558E3,5.827908967E0,2.489484371E2,2.499293887E-1,7.999999978E0,6.423707640E0,-1.000000000E0
5.186098409E1,1.936359374E1,-9.915673812E1,2.249923709E3,2.242204008E3,5.690637355E0,2.498281401E2,2.550803237E-1,7.999999971E0,6.271741162E0,-1.000000000E0
5.286096299E1,1.936357667E1,-9.915678377E1,2.250151841E3,2.242432011E3,5.338958091E0,2.491892908E2,2.606781405E-1,7.999999932E0,6.262807901E0,-1.000000000E0
5.386094153E1,1.936356149E1,-9.915683464E1,2.249899487E3,2.242179523E3,5.467085769E0,2.504910169E2,2.660611396E-1,7.999999954E0,6.259753380E0,-1.000000000E0
5.486092126E1,1.936354437E1,-9.915688264E1,2.250060678E3,2.242340581E3,5.444562742E0,2.495373378E2,2.717001867E-1,7.999999946E0,6.179172685E0,-1.000000000E0
5.586089933E1,1.936352143E1,-9.915693058E1,2.250164607E3,2.242444363E3,5.529263571E0,2.460816248E2,2.768254348E-1,7.999999948E0,6.155089565E0,-1.000000000E0
5.686087859E1,1.936350824E1,-9.915697739E1,2.249959847E3,2.242239482E3,5.197048044E0,2.493663194E2,2.824068563E-1,7.999999902E0,6.206715696E0,-1.000000000E0
5.786085808E1,1.936349313E1,-9.915702813E1,2.250026050E3,2.242305550E3,5.282707581E0,2.513182505E2,2.881476603E-1,7.999999921E0,6.183334268E0,-1.000000000E0
5.886083663E1,1.936347671E1,-9.915708001E1,2.250045692E3,2.242325053E3,5.470277092E0,2.512659264E2,2.932710192E-1,7.999999940E0,6.098957740E0,-1.000000000E0
5.986081576E1,1.936345990E1,-9.915712549E1,2.249972339E3,2.242251572E3,5.249840799E0,2.498342874E2,2.988550717E-1,7.999999936E0,6.167067658E0,-1.000000000E0
6.086079454E1,1.936344317E1,-9.915717567E1,2.249729957E3,2.242009054E3,5.362653138E0,2.505313583E2,3.039494158E-1,7.999999943E0,6.131580291E0,-1.000000000E0
6.186077344E1,1.936342491E1,-9.915722021E1,2.250022001E3,2.242300969E3,5.237366246E0,2.487128380E2,3.094208557E-1,7.999999948E0,6.191506907E0,-1.000000000E0
6.286075246E1,1.936340511E1,-9.915726796E1,2.250146379E3,2.242425208E3,5.342606233E0,2.473114092E2,3.149192833E-1,8.000000063E0,6.199754812E0,-1.000000000E0
6.386073101E1,1.936338769E1,-9.915731701E1,2.250146292E3,2.242424984E3,5.456749191E0,2.483682502E2,3.204124655E-1,8.000000063E0,6.337886656E0,-1.000000000E0
6.486071014E1,1.936337102E1,-9.915736630E1,2.250070266E3,2.242348824E3,5.467620903E0,2.497315427E2,3.255153240E-1,7.999999999E0,6.397659951E0,-1.000000000E0
6.586068964E1,1.936335113E1,-9.915741014E1,2.250449899E3,2.242728326E3,5.343867952E0,2.472958408E2,3.307459755E-1,7.999999982E0,6.534352764E0,-1.000000000E0
6.686066794E1,1.936333341E1,-9.915745633E1,2.250613545E3,2.242891840E3,5.362530758E0,2.475927354E2,3.360715903E-1,8.000000161E0,6.505596727E0,-1.000000000E0
6.786064696E1,1.936331566E1,-9.915750348E1,2.251177277E3,2.243455439E3,5.389683689E0,2.475700406E2,3.414490091E-1,8.000000183E0,6.614130252E0,-1.000000000E0
6.886062586E1,1.936330077E1,-9.915755225E1,2.251359901E3,2.243637933E3,5.404212987E0,2.496276524E2,3.466307606E-1,8.000000263E0,6.721040738E0,-1.000000000E0
6.986060536E1,1.936328370E1,-9.915759821E1,2.250932368E3,2.243210272E3,5.274136854E0,2.492809026E2,3.525058712E-1,8.000000253E0,6.740922140E0,-1.000000000E0
7.086058402E1,1.936326820E1,-9.915765175E1,2.250842715E3,2.243120478E3,5.585565632E0,2.514433455E2,3.576142871E-1,8.000000357E0,6.592449752E0,-1.000000000E0
7.186056292E1,1.936325109E1,-9.915769694E1,2.250990477E3,2.243268112E3,5.361306034E0,2.503430733E2,3.636900643E-1,8.000000283E0,6.601773881E0,-1.000000000E0
7.286054194E1,1.936323026E1,-9.915775049E1,2.250245259E3,2.242522742E3,5.700448864E0,2.489365420E2,3.691230384E-1,8.000000285E0,6.515171384E0,-1.000000000E0
7.386052084E1,1.936321180E1,-9.915779843E1,2.250506368E3,2.242783714E3,5.623450478E0,2.482834180E2,3.747493163E-1,8.000000331E0,6.302312584E0,-1.000000000E0
7.486050010E1,1.936319613E1,-9.915784943E1,2.250536014E3,2.242813224E3,5.627124299E0,2.503084825E2,3.803687348E-1,8.000000336E0,6.143460501E0,-1.000000000E0
7.586047864E1,1.936317812E1,-9.915789948E1,2.251027569E3,2.243304639E3,5.603916530E0,2.498348289E2,3.853706369E-1,8.000000429E0,6.146130955E0,-1.000000000E0
7.686045754E1,1.936315773E1,-9.915794198E1,2.251271594E3,2.243548535E3,5.245398779E0,2.465431738E2,3.905302568E-1,8.000000384E0,5.966280467E0,-1.000000000E0
7.786043668E1,1.936314183E1,-9.915798819E1,2.251690838E3,2.243967651E3,5.156970105E0,2.474231052E2,3.956202583E-1,8.000000320E0,6.033420777E0,-1.000000000E0
7.886041510E1,1.936313235E1,-9.915803565E1,2.251798238E3,2.244074937E3,5.024985010E0,2.519233389E2,4.004467735E-1,8.000000346E0,5.875964362E0,-1.000000000E0
7.986039460E1,1.936312064E1,-9.915807996E1,2.251579230E3,2.243855815E3,4.847817361E0,2.528910347E2,4.050940325E-1,8.000000288E0,5.846867133E0,-1.000000000E0
8.086037290E1,1.936310348E1,-9.915812035E1,2.251452056E3,2.243728523E3,4.544010732E0,2.507659136E2,4.102287076E-1,8.000000218E0,5.865800673E0,-1.000000000E0
8.186035252E1,1.936308044E1,-9.915816277E1,2.251668277E3,2.243944608E3,4.708667000E0,2.471466273E2,4.148652586E-1,8.000000143E0,5.614087698E0,-1.000000000E0
8.286033130E1,1.936306346E1,-9.915820314E1,2.250587037E3,2.242863250E3,4.535087866E0,2.505997119E2,4.183752564E-1,8.000000017E0,5.687965666E0,-1.000000000E0
8.386031055E1,1.936305072E1,-9.915823375E1,2.250742286E3,2.243018410E3,3.880129921E0,2.503476353E2,4.222248244E-1,7.999999978E0,5.683597789E0,-1.000000000E0
8.486028945E1,1.936303231E1,-9.915826483E1,2.250826421E3,2.243102442E3,3.623284388E0,2.429714745E2,4.247568205E-1,7.999999995E0,5.925347000E0,-1.000000000E0
8.586026824E1,1.936302479E1,-9.915828761E1,2.250841217E3,2.243117176E3,2.919686056E0,2.449256436E2,4.267563410E-1,7.999999968E0,5.723408560E0,-1.000000000E0
8.686024654E1,1.936302356E1,-9.915830662E1,2.250816287E3,2.243092206E3,2.277771362E0,2.492577504E2,4.291677812E-1,7.999999971E0,5.658766664E0,-1.000000000E0
8.786022556E1,1.936302161E1,-9.915832952E1,2.250932157E3,2.243208026E3,2.189516051E0,2.521775829E2,4.312583086E-1,7.999999934E0,5.777891784E0,-1.000000000E0
8.886020505E1,1.936301307E1,-9.915834727E1,2.251368130E3,2.243643945E3,1.942235494E0,2.464232918E2,4.344900853E-1,7.999999923E0,5.930600034E0,-1.000000000E0
8.986018407E1,1.936300554E1,-9.915837703E1,2.251167683E3,2.243443423E3,2.394191333E0,2.474053962E2,4.374390266E-1,7.999999916E0,6.014694618E0,-1.000000000E0
9.086016226E1,1.936300365E1,-9.915840506E1,2.251273787E3,2.243549467E3,2.463840646E0,2.537064314E2,4.405273632E-1,7.999999964E0,6.077156511E0,-1.000000000E0
9.186014140E1,1.936300866E1,-9.915843402E1,2.251074762E3,2.243350395E3,2.536695464E0,2.638618602E2,4.425328473E-1,7.999999968E0,5.922681531E0,-1.000000000E0
9.286012089E1,1.936301216E1,-9.915845278E1,2.250458976E3,2.242734581E3,2.090279360E0,2.715242534E2,4.446607749E-1,8.000000001E0,5.955328629E0,-1.000000000E0
9.386010015E1,1.936301142E1,-9.915847305E1,2.250258210E3,2.242533774E3,1.881414256E0,2.707016088E2,4.459236671E-1,8.000000009E0,6.154692360E0,-1.000000000E0
9.486007881E1,1.936300896E1,-9.915848480E1,2.250025309E3,2.242300843E3,1.269004804E0,2.688214817E2,4.475786886E-1,7.999999998E0,6.315630141E0,-1.000000000E0
9.586005700E1,1.936300727E1,-9.915850047E1,2.250169390E3,2.242444890E3,1.207497299E0,2.657717608E2,4.479738721E-1,7.999999987E0,6.516290524E0,-1.000000000E0
9.686003625E1,1.936301001E1,-9.915850287E1,2.249986990E3,2.242262491E3,4.510298562E-1,2.681582289E2,4.482249132E-1,7.999999993E0,6.615400981E0,-1.000000000E0
9.786001539E1,1.936300877E1,-9.915850087E1,2.250124155E3,2.242399657E3,3.402260000E-2,2.681582295E2,4.484417743E-1,7.999999999E0,6.269567647E0,-1.000000000E0
9.885999465E1,1.936300717E1,-9.915850204E1,2.250214643E3,2.242490140E3,6.728801027E-2,2.681582290E2,4.485944971E-1,7.999999999E0,6.126821710E0,-1.000000000E0
9.985997331E1,1.936300664E1,-9.915850339E1,2.250055806E3,2.242331299E3,5.038311726E-2,2.681582285E2,4.487958729E-1,8.000000000E0,6.107353484E0,-1.000000000E0
1.008599521E2,1.936300573E1,-9.915850505E1,2.250002782E3,2.242278269E3,1.457979430E-1,2.681582279E2,4.490038561E-1,7.999999999E0,6.070941565E0,-1.000000000E0
1.018599309E2,1.936300494E1,-9.915850325E1,2.250029216E3,2.242304705E3,2.321403295E-2,2.681582284E2,4.490283736E-1,8.000000000E0,6.043978281E0,-1.000000000E0
1.028599106E2,1.936300475E1,-9.915850335E1,2.250079908E3,2.242355397E3,2.498737096E-2,2.681582284E2,4.491119828E-1,8.000000000E0,6.028744142E0,-1.000000000E0
1.038598895E2,1.936300401E1,-9.915850351E1,2.250005700E3,2.242281186E3,5.263704896E-2,2.681582283E2,4.492720639E-1,8.000000000E0,6.006019133E0,-1.000000000E0
1.048598678E2,1.936300273E1,-9.915850280E1,2.250033130E3,2.242308615E3,5.245894750E-2,2.681582284E2,4.493574935E-1,8.000000000E0,5.981883901E0,-1.000000000E0
1.058598469E2,1.936300197E1,-9.915850295E1,2.249996971E3,2.242272454E3,6.861066755E-2,2.681582283E2,4.494848603E-1,8.000000000E0,5.973243296E0,-1.000000000E0
1.068598253E2,1.936300107E1,-9.915850220E1,2.250137079E3,2.242412562E3,2.945238345E-2,2.681582285E2,4.495931305E-1,8.000000000E0,5.936645871E0,-1.000000000E0
1.078598047E2,1.936300036E1,-9.915850150E1,2.250011795E3,2.242287278E3,3.340790667E-2,2.681582287E2,4.496128113E-1,8.000000000E0,5.930836489E0,-1.000000000E0
1.088597835E2,1.936300053E1,-9.915850155E1,2.250065648E3,2.242341130E3,5.761448689E-2,2.681582287E2,4.496258422E-1,8.000000000E0,5.925223899E0,-1.000000000E0
1.098597630E2,1.936300048E1,-9.915850144E1,2.250033976E3,2.242309459E3,6.502341822E-2,2.681582287E2,4.498025622E-1,8.000000001E0,5.942882359E0,-1.000000000E0
1.108597419E2,1.936300073E1,-9.915849978E1,2.250000484E3,2.242275970E3,4.054967972E-3,2.681582293E2,4.499131733E-1,8.000000000E0,5.932815523E0,-1.000000000E0
1.118597202E2,1.936299975E1,-9.915849957E1,2.249992084E3,2.242267568E3,2.074973347E-2,2.681582293E2,4.500263485E-1,8.000000000E0,5.965065709E0,-1.000000000E0
1.128597000E2,1.936299881E1,-9.915849915E1,2.249900519E3,2.242176002E3,4.325174859E-2,2.681582293E2,4.501196717E-1,8.000000000E0,6.024938062E0,-1.000000000E0
